1;ICS;Activate Firmware Update Mode;Access Management;0.7
2;ICS;Default Credentials;Access Management;0.7
3;ICS;Detect Operating Mode;Access Management;0.7
4;ICS;Device Restart/Shutdown;Access Management;0.7
5;ICS;Execution through API;Access Management;0.7
6;ICS;Modify Alarm Settings;Access Management;0.7
7;ICS;Module Firmware;Access Management;0.7
8;ICS;Point & Tag Identification;Access Management;0.7
9;ICS;Program Download;Access Management;0.7
10;ICS;Program Upload;Access Management;0.7
11;ICS;System Firmware;Access Management;0.7
12;ICS;Change Operating Mode;Access Management;0.7
13;ICS;Valid Accounts;Access Management;0.7
14;ICS;Remote Services;Access Management;0.7
15;ICS;Valid Accounts;Account Use Policies;0.5
16;ICS;External Remote Services;Account Use Policies;0.5
17;ICS;Valid Accounts;Active Directory Configuration;0.4
18;ICS;Engineering Workstation Compromise;Antivirus/Antimalware;0.5
19;ICS;Transient Cyber Asset;Antivirus/Antimalware;0.5
20;ICS;Transient Cyber Asset;Encrypt Sensitive Information;0.5
21;ICS;Transient Cyber Asset;Network Segmentation;0.4
22;ICS;Transient Cyber Asset;Update Software;0.5
23;ICS;Transient Cyber Asset;Audit;0.5
24;ICS;Spearphishing Attachment;Antivirus/Antimalware;0.5
25;ICS;User Execution;Antivirus/Antimalware;0.5
26;ICS;Valid Accounts;Application Developer Guidance;0.25
27;ICS;Drive-by Compromise;Application Isolation and Sandboxing;0.5
28;ICS;Exploit Public-Facing Application;Application Isolation and Sandboxing;0.5
29;ICS;Exploitation for Evasion;Application Isolation and Sandboxing;0.5
30;ICS;Exploitation of Remote Services;Application Isolation and Sandboxing;0.5
31;ICS;Scripting;Application Isolation and Sandboxing;0.5
32;ICS;Exploitation for Privilege Escalation;Application Isolation and Sandboxing;0.5
33;ICS;Block Reporting Message;Audit;0.5
34;ICS;Data from Information Repositories;Audit;0.5
35;ICS;Engineering Workstation Compromise;Audit;0.5
36;ICS;Hooking;Audit;0.5
37;ICS;Modify Parameter;Audit;0.5
38;ICS;Module Firmware;Audit;0.5
39;ICS;Program Download;Audit;0.5
40;ICS;Project File Infection;Audit;0.5
41;ICS;Rootkit;Audit;0.5
42;ICS;Supply Chain Compromise;Audit;0.5
43;ICS;System Firmware;Audit;0.5
44;ICS;Valid Accounts;Audit;0.5
45;ICS;Modify Program;Audit;0.5
46;ICS;Modify Controller Tasking;Audit;0.5
47;ICS;Activate Firmware Update Mode;Authorization Enforcement;0.6
48;ICS;Data Historian Compromise;Authorization Enforcement;0.6
49;ICS;Detect Operating Mode;Authorization Enforcement;0.6
50;ICS;Device Restart/Shutdown;Authorization Enforcement;0.6
51;ICS;Engineering Workstation Compromise;Authorization Enforcement;0.6
52;ICS;Execution through API;Authorization Enforcement;0.6
53;ICS;Modify Alarm Settings;Authorization Enforcement;0.6
54;ICS;Modify Parameter;Authorization Enforcement;0.6
55;ICS;Point & Tag Identification;Authorization Enforcement;0.6
56;ICS;Program Download;Authorization Enforcement;0.6
57;ICS;Program Upload;Authorization Enforcement;0.6
58;ICS;Change Operating Mode;Authorization Enforcement;0.6
59;ICS;Remote Services;Authorization Enforcement;0.6
60;ICS;Module Firmware;Boot Integrity;0.5
61;ICS;System Firmware;Boot Integrity;0.5
62;ICS;Block Reporting Message;Code Signing;0.5
63;ICS;Masquerading;Code Signing;0.5
64;ICS;Module Firmware;Code Signing;0.5
65;ICS;Program Download;Code Signing;0.5
66;ICS;Project File Infection;Code Signing;0.5
67;ICS;Rootkit;Code Signing;0.5
68;ICS;Supply Chain Compromise;Code Signing;0.5
69;ICS;System Firmware;Code Signing;0.5
70;ICS;User Execution;Code Signing;0.5
71;ICS;Modify Program;Code Signing;0.5
72;ICS;Modify Controller Tasking;Code Signing;0.5
73;ICS;Activate Firmware Update Mode;Communication Authenticity;0.4
74;ICS;Detect Operating Mode;Communication Authenticity;0.4
75;ICS;Device Restart/Shutdown;Communication Authenticity;0.4
76;ICS;Man in the Middle;Communication Authenticity;0.4
77;ICS;Manipulation of Control;Communication Authenticity;0.4
78;ICS;Manipulation of View;Communication Authenticity;0.4
79;ICS;Module Firmware;Communication Authenticity;0.4
80;ICS;Point & Tag Identification;Communication Authenticity;0.4
81;ICS;Program Download;Communication Authenticity;0.4
82;ICS;Program Upload;Communication Authenticity;0.4
83;ICS;Rogue Master;Communication Authenticity;0.4
84;ICS;Spoof Reporting Message;Communication Authenticity;0.4
85;ICS;System Firmware;Communication Authenticity;0.4
86;ICS;Unauthorized Command Message;Communication Authenticity;0.4
87;ICS;Change Operating Mode;Communication Authenticity;0.4
88;ICS;Wireless Compromise;Communication Authenticity;0.4
89;ICS;Data Destruction;Data Backup;0.5
90;ICS;Denial of Control;Data Backup;0.5
91;ICS;Denial of View;Data Backup;0.5
92;ICS;Loss of Availability;Data Backup;0.5
93;ICS;Loss of Control;Data Backup;0.5
94;ICS;Loss of Productivity and Revenue;Data Backup;0.5
95;ICS;Loss of View;Data Backup;0.5
96;ICS;Manipulation of Control;Data Backup;0.5
97;ICS;Manipulation of View;Data Backup;0.5
98;ICS;Theft of Operational Information;Data Loss Prevention;0.5
99;ICS;Command-Line Interface;Disable or Remove Feature or Program;0.5
100;ICS;Commonly Used Port;Disable or Remove Feature or Program;0.5
101;ICS;Data Historian Compromise;Disable or Remove Feature or Program;0.5
102;ICS;Device Restart/Shutdown;Disable or Remove Feature or Program;0.5
103;ICS;Exploitation of Remote Services;Disable or Remove Feature or Program;0.5
104;ICS;External Remote Services;Disable or Remove Feature or Program;0.5
105;ICS;Man in the Middle;Disable or Remove Feature or Program;0.5
106;ICS;Replication Through Removable Media;Disable or Remove Feature or Program;0.5
107;ICS;Scripting;Disable or Remove Feature or Program;0.5
108;ICS;Remote System Information Discovery;Disable or Remove Feature or Program;0.5
109;ICS;Module Firmware;Encrypt Network Traffic;0.5
110;ICS;Network Sniffing;Encrypt Network Traffic;0.5
111;ICS;System Firmware;Encrypt Network Traffic;0.5
112;ICS;Wireless Compromise;Encrypt Network Traffic;0.5
113;ICS;Wireless Sniffing;Encrypt Network Traffic;0.5
114;ICS;Data from Information Repositories;Encrypt Sensitive Information;0.5
115;ICS;Engineering Workstation Compromise;Encrypt Sensitive Information;0.5
116;ICS;Module Firmware;Encrypt Sensitive Information;0.5
117;ICS;Project File Infection;Encrypt Sensitive Information;0.5
118;ICS;System Firmware;Encrypt Sensitive Information;0.5
119;ICS;Theft of Operational Information;Encrypt Sensitive Information;0.5
120;ICS;Command-Line Interface;Execution Prevention;0.5
121;ICS;Execution through API;Execution Prevention;0.5
122;ICS;Masquerading;Execution Prevention;0.5
123;ICS;Scripting;Execution Prevention;0.5
124;ICS;User Execution;Execution Prevention;0.5
125;ICS;Native API;Execution Prevention;0.5
126;ICS;Drive-by Compromise;Exploit Protection;0.5
127;ICS;Exploit Public-Facing Application;Exploit Protection;0.5
128;ICS;Exploitation for Evasion;Exploit Protection;0.5
129;ICS;Exploitation of Remote Services;Exploit Protection;0.5
130;ICS;Exploitation for Privilege Escalation;Exploit Protection;0.5
131;ICS;Activate Firmware Update Mode;Filter Network Traffic;0.6
132;ICS;Brute Force I/O;Filter Network Traffic;0.6
133;ICS;Connection Proxy;Filter Network Traffic;0.6
134;ICS;Data Historian Compromise;Filter Network Traffic;0.6
